,attributes_tischtennisplatten,geometry,lat,lon
266,1,POINT (6.900156743585657 50.94297744470125),50.94297744470125,6.900156743585657
267,1,POINT (6.898206823640004 50.93823390900478),50.93823390900478,6.898206823640004
268,1,POINT (6.891472763860864 50.93870067974473),50.93870067974473,6.891472763860864
273,1,POINT (6.85744295835015 50.948321507850544),50.948321507850544,6.85744295835015
274,1,POINT (6.851989632076959 50.938686178211796),50.938686178211796,6.851989632076959
276,1,POINT (6.856061424328537 50.93448856998861),50.93448856998861,6.856061424328537
278,2,POINT (6.843570411091849 50.930983487223024),50.930983487223024,6.843570411091849
282,1,POINT (6.896597780308443 51.02445182883533),51.02445182883533,6.896597780308443
284,2,POINT (6.891371120078236 51.02456712001234),51.02456712001234,6.891371120078236
289,1,POINT (6.880137968621608 51.02105432288143),51.02105432288143,6.880137968621608
296,1,POINT (6.888585124940143 51.029903547581775),51.029903547581775,6.888585124940143
299,1,POINT (6.897754939578007 51.02875496660075),51.02875496660075,6.897754939578007
301,1,POINT (6.894256957192248 51.0283918791775),51.0283918791775,6.894256957192248
304,1,POINT (6.886386727305641 51.040859731428625),51.040859731428625,6.886386727305641
312,1,POINT (6.861634210937588 51.061914086443835),51.061914086443835,6.861634210937588
315,1,POINT (6.851992807105957 51.060117336330215),51.060117336330215,6.851992807105957
316,1,POINT (6.855106449716796 51.057929395540704),51.057929395540704,6.855106449716796
317,1,POINT (6.986865340878554 50.918073894777905),50.918073894777905,6.986865340878554
319,1,POINT (6.853716176329111 51.011802504066175),51.011802504066175,6.853716176329111
323,1,POINT (6.852328737343546 51.00269324364361),51.00269324364361,6.852328737343546
324,1,POINT (6.854543529893184 51.00347872139976),51.00347872139976,6.854543529893184
332,1,POINT (7.068091813571275 50.88375536962367),50.88375536962367,7.068091813571275
333,1,POINT (7.082102225978219 50.879528093671595),50.879528093671595,7.082102225978219
334,1,POINT (7.093614579998928 50.87906344275797),50.87906344275797,7.093614579998928
340,2,POINT (7.098736293154609 50.87316809486479),50.87316809486479,7.098736293154609
343,2,POINT (7.098010944644664 50.85635929038476),50.85635929038476,7.098010944644664
345,1,POINT (7.084624470716382 50.86059322774077),50.86059322774077,7.084624470716382
348,1,POINT (7.081469348865636 50.85893986200159),50.85893986200159,7.081469348865636
352,1,POINT (7.07337516009854 50.840978330211904),50.840978330211904,7.07337516009854
354,2,POINT (7.052485451368263 50.87071856735812),50.87071856735812,7.052485451368263
359,1,POINT (7.036903810964445 50.86160385171535),50.86160385171535,7.036903810964445
361,1,POINT (7.0417900406833995 50.86314327837431),50.86314327837431,7.0417900406833995
362,1,POINT (7.052889840811472 50.87695594363943),50.87695594363943,7.052889840811472
363,1,POINT (7.058111093697235 50.87577905566089),50.87577905566089,7.058111093697235
365,1,POINT (7.001689730576704 50.847416051852875),50.847416051852875,7.001689730576704
366,2,POINT (7.017535333463348 50.85109187087451),50.85109187087451,7.017535333463348
367,1,POINT (7.011260870296641 50.85058091549453),50.85058091549453,7.011260870296641
369,1,POINT (7.061250492643948 50.90172891437762),50.90172891437762,7.061250492643948
373,1,POINT (6.99067261034657 50.93196197466224),50.93196197466224,6.99067261034657
374,2,POINT (6.992836083378125 50.93208519106349),50.93208519106349,6.992836083378125
375,1,POINT (6.995491298350159 50.93067936868586),50.93067936868586,6.995491298350159
376,2,POINT (6.995090610662829 50.92855886032467),50.92855886032467,6.995090610662829
380,1,POINT (7.005523576679531 50.94067986055156),50.94067986055156,7.005523576679531
381,2,POINT (7.006706800764171 50.93938502556947),50.93938502556947,7.006706800764171
382,1,POINT (7.000753560061923 50.94119896878928),50.94119896878928,7.000753560061923
386,1,POINT (7.00728246723347 50.94406950335417),50.94406950335417,7.00728246723347
387,1,POINT (7.0228648650194945 50.93061524318086),50.93061524318086,7.0228648650194945
389,1,POINT (7.024713077928566 50.9318921518352),50.9318921518352,7.024713077928566
